draft_id,player_name,draft_season,round_number,round_pick,overall_pick,team_id,team_city,team_name,team_abbreviation,organization,organization_type,position,height_wo_shoes,height_wo_shoes_ft_in,height_w_shoes,height_w_shoes_ft_in,weight,wingspan,wingspan_ft_in,standing_reach,standing_reach_ft_in,body_fat_pct,hand_length,hand_width,standing_vertical_leap,max_vertical_leap,lane_agility_time,modified_lane_agility_time,three_quarter_sprint
2784,Luis Flores,2004,2,26,55,1610612745,Houston,Rockets,HOU,Manhattan,[College/University],PG-SG,72.5,6' 0.5'',73.75,6' 1.75'',202.0,79.5,6' 7.5'',98.5,8' 2.5'',6.0,0.0,0.0,29.0,32.0,10.97,0.0,3.1
101106,Andrew Bogut,2005,1,1,1,1610612749,Milwaukee,Bucks,MIL,Utah,[College/University],C-PF,83.0,6' 11'',84.25,7' 0.25'',250.6,87.0,7' 3'',110.5,9' 2.5'',0.0,0.0,0.0,27.5,33.5,12.06,0.0,3.51
101107,Marvin Williams,2005,1,2,2,1610612737,Atlanta,Hawks,ATL,North Carolina,[College/University],PF-SF,79.0,6' 7'',80.25,6' 8.25'',228.2,87.5,7' 3.5'',108.0,9' 0'',0.0,0.0,0.0,29.5,35.0,11.11,0.0,3.17
101114,Deron Williams,2005,1,3,3,1610612762,Utah,Jazz,UTA,Illinois,[College/University],PG,73.75,6' 1.75'',74.75,6' 2.75'',202.4,78.25,6' 6.25'',98.0,8' 2'',0.0,0.0,0.0,30.0,35.0,10.83,0.0,3.25
101108,Chris Paul,2005,1,4,4,1610612740,New Orleans/Oklahoma City,Hornets,NOK,Wake Forest,[College/University],PG,71.75,5' 11.75'',73.0,6' 1'',178.0,76.25,6' 4.25'',93.0,7' 9'',0.0,0.0,0.0,32.0,38.0,11.09,0.0,3.22
101109,Raymond Felton,2005,1,5,5,1610612766,Charlotte,Bobcats,CHA,North Carolina,[College/University],PG,71.5,5' 11.5'',72.25,6' 0.25'',199.4,76.25,6' 4.25'',98.0,8' 2'',0.0,0.0,0.0,29.0,33.5,10.5,0.0,3.06
101110,Martell Webster,2005,1,6,6,1610612757,Portland,Trail Blazers,POR,Seattle Preparatory School,[High School],SF,78.0,6' 6'',79.5,6' 7.5'',229.6,83.0,6' 11'',106.0,8' 10'',0.0,0.0,0.0,28.0,30.5,11.39,0.0,3.39
101111,Charlie Villanueva,2005,1,7,7,1610612761,Toronto,Raptors,TOR,Connecticut,[College/University],PF-SF,81.0,6' 9'',81.5,6' 9.5'',236.6,84.25,7' 0.25'',109.0,9' 1'',0.0,0.0,0.0,26.0,31.0,10.86,0.0,3.3
101112,Channing Frye,2005,1,8,8,1610612752,New York,Knicks,NYK,Arizona,[College/University],PF-C,81.5,6' 9.5'',82.5,6' 10.5'',243.6,86.5,7' 2.5'',110.5,9' 2.5'',0.0,0.0,0.0,27.5,31.0,11.6,0.0,3.38
101113,Ike Diogu,2005,1,9,9,1610612744,Golden State,Warriors,GSW,Arizona State,[College/University],PF,78.5,6' 6.5'',80.0,6' 8'',255.4,87.5,7' 3.5'',109.0,9' 1'',0.0,0.0,0.0,28.0,31.0,11.94,0.0,3.45
