player_id,Player,Salary
1622,Jamal Cain,508891
1624,Kevon Harris,508891
1625,Keon Ellis,508891
1627,Dominick Barlow,508891
1628,Julian Champagnie,508891
1631,Johnny Juzang,508891
1632,John Butler,503041
1633,Chima Moneke,500000
1635,Orlando Robinson,386055
1636,Dru Smith,374357
1637,Jared Rhoden,307089
1641,Alondes Williams,254446
1642,Donovan Williams,239822
1643,Quenton Jackson,219630
1645,Tyler Dorsey,201802
1647,Jordan Hall,193027
1651,Xavier Cooks,140384
1653,Lester Quinones,129405
1655,Jamaree Bouyea,116986
1659,Deonte Burton,105522
1664,Stanley Umude,58493
1665,Jeenathan Williams,52644
1667,Justin Minaya,35096
1668,Kobi Simmons,32795
1670,RaiQuan Gray,5849
1671,Jacob Gilyard,5849
