game_id,game_date,attendance
22100642,2022-01-15,15124
22100641,2022-01-15,17341
22100644,2022-01-15,17034
22100645,2022-01-15,19600
22100643,2022-01-15,16414
22100646,2022-01-15,0
22100648,2022-01-15,13223
22100647,2022-01-15,19156
22100649,2022-01-15,19520
22100650,2022-01-15,19816
22100651,2022-01-16,0
22100617,2022-01-16,18178
22100653,2022-01-16,15647
22100652,2022-01-16,0
22100663,2022-01-17,19266
22100658,2022-01-17,17794
22100657,2022-01-17,18105
22100655,2022-01-17,19812
22100660,2022-01-17,16903
22100656,2022-01-17,14581
22100659,2022-01-17,15080
22100665,2022-01-17,17238
22100654,2022-01-17,0
22100664,2022-01-17,10422
22100661,2022-01-17,13648
22100662,2022-01-17,0
22100666,2022-01-18,16071
22100667,2022-01-18,18064
22100672,2022-01-19,19600
22100680,2022-01-19,17818
22100678,2022-01-19,14547
22100669,2022-01-19,15380
22100668,2022-01-19,20081
22100679,2022-01-19,12907
22100677,2022-01-19,0
22100675,2022-01-19,19218
22100676,2022-01-19,11848
22100674,2022-01-19,17341
22100671,2022-01-19,19156
22100673,2022-01-19,20824
22100670,2022-01-19,15199
22100681,2022-01-20,0
22100682,2022-01-20,19584
22100683,2022-01-20,18064
22100693,2022-01-21,18306
22100689,2022-01-21,14755
22100686,2022-01-21,20182
22100685,2022-01-21,18846
22100687,2022-01-21,16385
22100688,2022-01-21,19156
22100684,2022-01-21,15835
22100691,2022-01-21,15068
22100690,2022-01-21,18013
22100692,2022-01-21,17009
22100694,2022-01-21,18064
22100695,2022-01-22,19432
22100697,2022-01-22,17071
22100696,2022-01-22,17341
22100704,2022-01-23,16437
22100703,2022-01-23,15822
22100701,2022-01-23,0
22100700,2022-01-23,19973
22100708,2022-01-23,18064
22100699,2022-01-23,16371
22100702,2022-01-23,15353
22100707,2022-01-23,14060
22100698,2022-01-23,19812
22100705,2022-01-23,19701
22100706,2022-01-23,16475
22100712,2022-01-24,15581
22100713,2022-01-24,17071
22100730,2022-01-24,14378
22100709,2022-01-24,17321
22100718,2022-01-25,18126
22100721,2022-01-25,16422
22100720,2022-01-25,18064
22100719,2022-01-25,15007
22100454,2022-01-25,20121
22100716,2022-01-25,13544
22100717,2022-01-25,19156
22100714,2022-01-25,16023
22100715,2022-01-25,15353
22100731,2022-01-26,18306
22100725,2022-01-26,15080
22100732,2022-01-26,16334
22100728,2022-01-26,14662
22100453,2022-01-26,18011
22100472,2022-01-26,20269
22100727,2022-01-26,19600
22100724,2022-01-26,12448
22100723,2022-01-26,14116
