primary_key_composed,season_id,player_id,player_name,team_id,team_abbreviation,position,age,GP,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,divisor_pie,pie,Predicted_PIE_XGB
546_2021_SAC,2021,546,Nemanja Bjelica,1610612758,SAC,PF,32,13,0,16.2,2.3,5.2,0.448,0.5,2.0,0.269,1.8,3.2,0.561,0.5,1.8,2.2,0.821,0.9,2.8,3.8,2.2,0.0,0.2,1.2,1.8,6.9,6.15,0.000887573964497,0.00079863274
547_2021_NOP,2021,547,Eric Bledsoe,1610612740,NOP,SG,31,27,26,28.9,4.6,10.5,0.437,2.2,5.4,0.401,2.4,5.1,0.474,0.54,1.3,2.0,0.648,0.5,3.1,3.6,3.7,0.7,0.3,1.7,1.5,12.7,10.8,0.0014842300556586,0.001398009
548_2021_POR,2021,548,Keljin Blevins,1610612757,POR,SF,25,8,0,4.8,0.1,1.1,0.111,0.0,0.4,0.0,0.1,0.8,0.167,0.111,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3,0.0,0.4,0.5,0.3,-0.8,-0.0001053671386236,6.346789e-05
52_2021_ATL,2021,52,Bogdan Bogdanović,1610612737,ATL,SG,28,9,2,23.7,3.3,8.7,0.385,2.3,6.4,0.362,1.0,2.2,0.45,0.519,0.9,1.0,0.889,0.2,3.6,3.8,2.1,0.4,0.1,1.2,2.0,9.9,7.45,0.00086708566108,0.0010982514
53_2021_UTA,2021,53,Bojan Bogdanović,1610612762,UTA,SF,31,29,29,30.7,5.0,12.1,0.416,2.6,6.6,0.387,2.5,5.5,0.45,0.521,2.6,3.0,0.864,0.5,3.5,4.0,2.1,0.4,0.0,1.5,1.5,15.2,10.95,0.0012784588441331,0.0014530071
1504_2021_DEN,2021,1504,Bol Bol,1610612743,DEN,PF,21,12,2,5.4,0.6,1.3,0.438,0.2,0.5,0.333,0.4,0.8,0.5,0.5,0.1,0.2,0.5,0.0,0.8,0.8,0.2,0.1,0.3,0.4,0.6,1.4,0.85,0.0001009681059571,0.00017687299
55_2021_CLE,2021,55,Marques Bolden,1610612739,CLE,C,22,6,0,4.8,0.2,0.5,0.333,0.0,0.0,0.0,0.2,0.5,0.333,0.333,0.8,1.3,0.625,0.5,0.5,1.0,0.0,0.3,0.3,0.3,0.0,1.2,1.3,0.0002183222772692,0.00010580744
56_2021_ORL,2021,56,Jordan Bone,1610612753,ORL,PG,23,14,0,14.0,1.6,3.9,0.426,0.7,2.3,0.313,0.9,1.6,0.591,0.519,0.0,0.0,0.0,0.3,1.4,1.7,1.3,0.1,0.0,0.2,0.8,4.0,3.65,0.0006091455273698,0.00041416066
553_2021_WAS,2021,553,Isaac Bonga,1610612764,WAS,SF,21,17,7,13.5,0.8,2.1,0.389,0.5,1.3,0.409,0.3,0.8,0.357,0.514,0.1,0.2,0.667,0.5,1.8,2.2,0.5,0.2,0.2,0.4,1.6,2.3,1.75,0.0002359285473542,0.00030364344
1230_2021_PHO,2021,1230,Devin Booker,1610612756,PHX,SG,24,23,23,35.2,9.0,18.2,0.492,2.0,5.8,0.353,6.9,12.4,0.556,0.548,4.4,5.3,0.829,0.2,3.5,3.7,4.4,0.9,0.3,3.5,3.3,24.4,16.549999999999994,0.001691364333163,0.0025078533
1306_2021_TOR,2021,1306,Chris Boucher,1610612761,TOR,C,28,28,0,23.4,4.8,9.0,0.528,1.6,3.6,0.441,3.1,5.4,0.587,0.617,2.5,3.3,0.75,2.0,4.8,6.8,1.0,0.5,2.1,0.7,2.7,13.6,13.55,0.0020278359772523,0.0017144779
60_2021_IND,2021,60,Brian Bowen,1610612754,IND,SF,22,1,0,5.0,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0004145364101146,0.00031393272
558_2021_MIA,2021,558,Avery Bradley,1610612748,MIA,SG,30,10,1,21.1,3.1,6.6,0.47,1.6,3.8,0.421,1.5,2.8,0.536,0.591,0.7,0.9,0.778,0.2,1.6,1.8,1.4,0.7,0.1,0.9,2.6,8.5,5.149999999999999,0.0007257609921082,0.00077798474
1517_2021_PHI,2021,1517,Tony Bradley,1610612755,PHI,C,23,10,1,11.7,1.9,3.6,0.528,0.0,0.1,0.0,1.9,3.5,0.543,0.528,0.3,0.5,0.6,2.1,2.9,5.0,0.6,0.3,0.6,0.1,1.1,4.1,6.149999999999999,0.0007373658653557,0.0005965473
1660_2021_UTA,2021,1660,Jarrell Brantley,1610612762,UTA,PF,24,8,0,2.8,0.4,1.0,0.375,0.4,0.8,0.5,0.0,0.3,0.0,0.563,0.0,0.0,0.0,0.1,0.4,0.5,0.0,0.1,0.1,0.1,0.5,1.1,0.5000000000000001,5.837711617046119e-05,0.00017442512
560_2021_NYK,2021,560,Ignas Brazdeikis,1610612752,NYK,SF,22,4,0,1.8,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.5,0.5,1.0,0.3,0.3,0.5,0.3,0.0,0.0,0.3,0.0,0.5,0.6499999999999999,9.621077560686796e-05,5.7773745e-05
1264_2021_PHO,2021,1264,Mikal Bridges,1610612756,PHX,SF,24,27,27,33.3,5.1,10.1,0.504,2.0,4.9,0.398,3.1,5.1,0.604,0.601,2.0,2.4,0.833,1.4,4.0,5.3,2.1,0.6,1.0,0.7,1.9,14.1,13.999999999999998,0.001430761369443,0.0016501874
562_2021_CHO,2021,562,Miles Bridges,1610612766,CHA,PF,22,28,2,26.7,3.8,8.0,0.469,1.3,3.5,0.364,2.5,4.5,0.552,0.549,1.1,1.2,0.939,1.3,4.5,5.8,1.9,0.7,0.8,1.8,2.4,9.9,9.549999999999995,0.0014126174099548,0.0012927073
1256_2021_IND,2021,1256,Malcolm Brogdon,1610612754,IND,PG,28,29,29,36.0,8.1,18.4,0.442,2.7,6.7,0.395,5.5,11.7,0.469,0.514,2.7,2.9,0.906,0.8,4.1,4.8,6.6,1.3,0.3,2.1,1.9,21.6,19.65000000000001,0.0027152134862512,0.0024556755
1313_2021_MEM,2021,1313,Dillon Brooks,1610612763,MEM,SF,25,24,24,29.2,6.1,15.4,0.397,1.9,6.0,0.319,4.2,9.4,0.447,0.459,1.7,2.1,0.8,1.0,2.2,3.3,2.6,1.3,0.4,2.3,3.3,15.8,7.299999999999998,0.0009356575237118,0.0014679633
1372_2021_BRK,2021,1372,Bruce Brown,1610612751,BKN,PG,24,26,13,19.2,2.7,4.9,0.555,0.2,0.8,0.182,2.6,4.1,0.632,0.57,0.8,1.1,0.69,1.3,3.1,4.4,1.0,0.7,0.4,0.8,1.8,6.4,6.950000000000001,0.0007856214322048,0.0009116707
1246_2021_BOS,2021,1246,Jaylen Brown,1610612738,BOS,SG,24,26,26,33.4,9.9,19.5,0.506,2.4,5.9,0.409,7.5,13.6,0.548,0.568,3.7,4.8,0.768,1.2,4.3,5.5,3.6,1.2,0.6,2.8,3.0,25.9,19.4,0.0027474861917575,0.0026418562
1600_2021_OKC,2021,1600,Moses Brown,1610612760,OKC,C,21,7,0,4.4,1.0,1.4,0.7,0.0,0.0,0.0,1.0,1.4,0.7,0.7,1.0,2.0,0.5,0.6,1.6,2.1,0.4,0.1,0.6,0.1,0.6,3.0,3.6,0.0005979073243647,0.00037987
1452_2021_HOU,2021,1452,Sterling Brown,1610612745,HOU,SG,25,26,1,21.4,2.8,6.2,0.45,1.5,3.8,0.408,1.2,2.4,0.516,0.575,0.4,0.4,1.0,0.8,3.1,3.9,1.8,1.0,0.3,0.7,2.0,7.5,7.850000000000002,0.0012337917485265,0.0010217922
578_2021_WAS,2021,578,Troy Brown Jr.,1610612764,WAS,SF,21,13,0,15.8,1.7,4.8,0.355,0.8,2.8,0.306,0.8,2.0,0.423,0.444,0.5,0.9,0.583,0.6,2.8,3.5,1.0,0.2,0.2,0.9,1.8,4.8,3.0,0.0004044489383215,0.0004924883
1249_2021_DAL,2021,1249,Jalen Brunson,1610612742,DAL,PG,24,24,6,24.1,4.3,8.3,0.515,1.1,2.8,0.382,3.2,5.5,0.583,0.58,2.0,2.3,0.889,0.2,3.0,3.2,3.6,0.4,0.0,1.2,1.5,11.7,11.8,0.0015897608622431,0.0014229002
1529_2021_WAS,2021,1529,Thomas Bryant,1610612764,WAS,C,23,10,10,27.1,5.9,9.1,0.648,0.9,2.1,0.429,5.0,7.0,0.714,0.698,1.6,2.4,0.667,1.8,4.3,6.1,1.5,0.4,0.8,1.1,3.1,14.3,13.600000000000003,0.0018335018537243,0.0016778196
1327_2021_NYK,2021,1327,Reggie Bullock,1610612752,NYK,SF,29,25,25,26.8,3.1,7.6,0.411,1.8,4.6,0.383,1.4,3.0,0.453,0.526,0.5,0.6,0.813,0.3,3.2,3.5,1.4,0.7,0.2,0.7,2.5,8.5,6.249999999999999,0.0009251036116044,0.0009871335
583_2021_DAL,2021,583,Trey Burke,1610612742,DAL,PG,28,27,0,17.3,2.9,6.6,0.444,1.3,3.4,0.396,1.6,3.2,0.494,0.545,0.9,1.0,0.852,0.1,1.0,1.1,1.6,0.8,0.1,0.6,1.5,8.0,5.600000000000001,0.0007544627820815,0.00076876604
1328_2021_NYK,2021,1328,Alec Burks,1610612752,NYK,SG,29,18,3,25.5,3.6,9.0,0.395,2.0,4.9,0.409,1.6,4.1,0.378,0.506,1.9,2.4,0.814,0.5,4.1,4.6,2.1,0.8,0.3,1.1,1.7,11.1,9.8,0.0014505624629958,0.0012510119
1220_2021_MIA,2021,1220,Jimmy Butler,1610612748,MIA,SF,31,16,16,32.9,6.0,13.7,0.438,0.3,1.5,0.167,5.8,12.2,0.472,0.447,7.2,8.4,0.858,1.8,5.9,7.7,7.4,1.9,0.4,2.1,1.1,19.4,23.6,0.003325817361894,0.002969326
80_2021_HOU,2021,80,Bruno Caboclo,1610612745,HOU,PF,25,6,0,6.0,1.3,2.8,0.471,0.0,0.8,0.0,1.3,2.0,0.667,0.471,0.2,0.3,0.5,0.5,1.8,2.3,0.2,0.0,0.3,0.7,1.0,2.8,1.9,0.0002986247544204,0.00034784563
587_2021_LAL,2021,587,Devontae Cacok,1610612747,LAL,PF,24,1,0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0002877490827997,0.00026660564
1294_2021_LAL,2021,1294,Kentavious Caldwell-Pope,1610612747,LAL,SG,27,25,25,25.1,3.0,6.7,0.446,1.6,3.7,0.424,1.4,3.0,0.474,0.563,0.9,1.1,0.852,0.3,1.9,2.2,1.3,0.8,0.3,1.0,1.6,8.5,6.300000000000001,0.0009064096108193,0.0008770544
1634_2021_DEN,2021,1634,Facundo Campazzo,1610612743,DEN,PG,29,25,1,14.0,1.5,3.8,0.396,1.0,2.6,0.375,0.6,1.3,0.438,0.521,0.9,1.2,0.759,0.2,0.6,0.8,1.9,0.9,0.2,0.7,1.8,4.9,3.4000000000000004,0.0004038724238284,0.0004638419
84_2021_DEN,2021,84,Vlatko Čančar,1610612743,DEN,PF,23,13,0,3.5,0.2,1.1,0.214,0.1,0.6,0.125,0.2,0.5,0.333,0.25,0.1,0.2,0.5,0.2,0.7,0.9,0.1,0.3,0.2,0.4,0.2,0.6,0.2999999999999997,3.563580210251229e-05,7.2946e-05
1272_2021_ATL,2021,1272,Clint Capela,1610612737,ATL,C,26,25,25,29.3,6.3,10.9,0.579,0.0,0.0,0.0,6.3,10.9,0.579,0.579,1.6,3.1,0.532,4.6,9.4,14.0,1.0,0.8,2.2,1.4,2.3,14.3,19.100000000000005,0.0022229981378026,0.0019799848
